frequency,raw
20,-2
30,0
40,2.2
50,3
60,2.5
70,1.8
80,0.2
90,0.2
100,0.3
150,1
200,2
300,1.8
400,1.9
500,2
600,0.3
700,0.15
800,0.15
900,0.15
1000,0.15
1500,0.12
2000,2
2500,2.2
3000,1.7
3200,1.2
4000,2.6
5000,2.6
6000,4
6500,4.7
7000,4
7500,2.8
8000,3
9000,3.1
10000,3.1
12500,2
16000,0
20000,-3
